,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,latitude,longitude,Num_of_Baskets,Binned_Age_Range
1184,2015-12-19,16:36:04,malay,male,thin,yes,baby,big,green,casual,blue,long sleeve,pink,long,blankets,4,9,no,3.1228966782277645,101.72270880140874,1.0,"(20, 30]"
1185,2016-01-15,08:42:11,chinese,male,fat,no,no_kids,big,red,formal,pink,long sleeve,pink,long,clothes,4,8,yes,3.1210573990549406,101.78100936209933,3.0,"(20, 30]"
1186,2016-02-26,17:00:14,foreigner ,male,moderate,yes,toddler,big,grey,casual,white,short_sleeve,red,long,blankets,4,10,no,3.193321223488604,101.70790375651362,2.0,"(30, 40]"
1187,2016-02-04,00:28:59,malay,female,fat,no,young,big,white,traditional,green,short_sleeve,red,long,blankets,6,10,yes,3.168259162974287,101.75741243553205,3.0,"(30, 40]"
1188,2016-02-09,00:26:09,malay,female,thin,no,toddler,small,red,casual,white,long sleeve,black ,short,clothes,3,8,no,3.1565868921022315,101.70205878593671,3.0,"(20, 30]"
1189,2016-01-23,10:02:13,chinese,female,moderate,yes,toddler,big,purple,casual,red,short_sleeve,white,long,blankets,5,7,yes,3.116632846320658,101.7652373677708,2.0,"(30, 40]"
1190,2016-01-18,02:34:01,foreigner ,male,thin,no,toddler ,small,red,casual,white,short_sleeve,red,long,clothes,5,8,no,3.141481886774894,101.7012655764346,3.0,"(20, 30]"
1191,2016-01-29,15:40:43,malay,male,moderate,yes,toddler,big,green,formal,black ,long sleeve,green,short,clothes,6,9,no,3.144913739145733,101.774245854292,1.0,"(20, 30]"
1192,2016-02-19,01:15:22,indian,male,moderate,no,no_kids,small,black,formal,green,short_sleeve,pink,long,blankets,6,8,no,3.1842408339343446,101.77874744631406,2.0,"(30, 40]"
1193,2015-12-27,00:24:53,malay,male,moderate,yes,young,big,grey,formal,white,long sleeve,blue ,short,blankets,4,9,no,3.145005023939016,101.74051232653102,3.0,"(50, 60]"
1195,2016-01-28,06:40:17,malay,female,fat,no,young,small,purple,traditional,purple,long sleeve,black,short,clothes,4,8,yes,3.175461020403967,101.77564271636491,1.0,"(10, 20]"
1196,2016-01-19,20:28:41,foreigner ,female,fat,yes,toddler ,small,white,casual,red,long sleeve,black,short,clothes,4,7,no,3.111323485625819,101.7078215865258,3.0,"(30, 40]"
1197,2016-02-12,10:44:40,foreigner ,female,fat,yes,no_kids,big,purple,casual,black ,short_sleeve,grey,short,blankets,5,9,no,3.164127714666076,101.7800340508435,2.0,"(20, 30]"
1198,2016-01-14,16:55:29,foreigner ,male,moderate,no,young,big,pink,casual,orange,short_sleeve,blue,short,clothes,6,7,yes,3.188505013280899,101.74597434484332,2.0,"(50, 60]"
1199,2015-12-14,10:31:05,indian,female,fat,yes,toddler,big,white,casual,orange,short_sleeve,brown,long,blankets,3,9,yes,3.15783145718556,101.70907745815788,1.0,"(40, 50]"
1200,2016-02-09,10:25:41,indian,female,fat,no,toddler ,small,white,formal,white,short_sleeve,black,long,blankets,4,10,no,3.116837790359768,101.74678212582226,3.0,"(20, 30]"
1201,2016-01-08,22:30:16,malay,female,thin,no,baby,small,green,traditional,white,short_sleeve,black,short,clothes,5,7,no,3.184503305206975,101.74203338768748,2.0,"(20, 30]"
1202,2016-01-09,07:45:59,malay,female,fat,yes,no_kids,small,red,traditional,green,long sleeve,blue ,long,clothes,6,9,no,3.152311100330341,101.70406887787928,1.0,"(50, 60]"
1204,2015-12-14,14:55:16,foreigner ,female,thin,yes,baby,small,brown,casual,grey,long sleeve,blue  ,long,clothes,5,9,yes,3.1039840305149826,101.72917473553244,1.0,"(40, 50]"
1205,2015-12-08,05:46:09,malay,female,thin,no,toddler,small,red,casual,pink,long sleeve,black,long,clothes,5,7,no,3.143437655634405,101.71141883144249,3.0,"(40, 50]"
1206,2016-02-19,15:55:24,chinese,female,moderate,no,toddler,big,blue,traditional,brown,short_sleeve,white,short,blankets,3,10,no,3.1080492730954474,101.7802772599071,2.0,"(30, 40]"
1207,2015-12-23,03:55:16,malay,female,moderate,yes,baby,small,white,formal,black ,short_sleeve,yellow,short,clothes,6,8,no,3.183585093424083,101.7099827989181,2.0,"(20, 30]"
1208,2016-02-18,18:12:19,malay,male,moderate,no,baby,small,yellow,formal,blue,short_sleeve,blue  ,long,clothes,3,7,no,3.117252414665208,101.7554479381855,1.0,"(30, 40]"
1209,2016-02-28,03:22:33,indian,male,thin,no,baby,small,purple,casual,red,short_sleeve,black,short,blankets,6,8,no,3.11510177346093,101.6993341963129,2.0,"(50, 60]"
1210,2015-12-09,05:58:02,malay,male,moderate,no,no_kids,small,grey,traditional,yellow,short_sleeve,red,short,blankets,5,8,no,3.1644372198297863,101.71625198507746,2.0,"(10, 20]"
1211,2015-12-07,14:57:02,malay,male,moderate,no,no_kids,small,white,casual,black ,long sleeve,black,short,clothes,3,7,no,3.122388408552675,101.72429992647518,1.0,"(40, 50]"
1212,2016-02-20,19:06:01,indian,female,moderate,no,baby,big,yellow,traditional,red,long sleeve,black,long,clothes,3,8,no,3.103101028800044,101.7111682282662,2.0,"(20, 30]"
1213,2016-02-10,14:26:20,foreigner ,female,moderate,yes,toddler,small,red,casual,red,long sleeve,pink,short,clothes,4,9,no,3.102267817066205,101.78484738474349,2.0,"(40, 50]"
1214,2016-02-23,08:41:14,chinese,male,thin,yes,toddler ,small,white,formal,white,short_sleeve,orange,long,blankets,4,10,no,3.1673022053205764,101.78241892310764,3.0,"(30, 40]"
1215,2016-02-28,11:07:21,foreigner ,male,thin,no,toddler ,big,white,formal,green,short_sleeve,red,long,blankets,4,8,yes,3.14994543632018,101.7284694644206,1.0,"(20, 30]"
1216,2016-02-05,18:05:07,malay,female,thin,yes,young,big,orange,traditional,purple,long sleeve,purple,short,blankets,4,10,yes,3.1043926537392164,101.74196399335436,2.0,"(50, 60]"
1217,2016-01-30,18:16:42,malay,female,thin,no,baby,small,pink,casual,grey,long sleeve,brown,short,clothes,3,7,no,3.141212745234168,101.76801576719248,3.0,"(30, 40]"
1218,2015-12-17,10:58:42,indian,female,fat,yes,toddler ,big,purple,casual,red,long sleeve,blue_jeans,short,clothes,5,9,no,3.1451287477065795,101.7164089238508,1.0,"(40, 50]"
1219,2016-01-26,00:38:38,malay,male,thin,no,young,small,grey,formal,black,short_sleeve,blue,short,blankets,5,8,no,3.177062863160925,101.7122516088087,1.0,"(30, 40]"
1220,2015-12-24,12:23:04,indian,male,moderate,yes,toddler ,small,red,traditional,green,short_sleeve,yellow,short,clothes,4,10,yes,3.145181778481989,101.70291141763344,3.0,"(30, 40]"
1221,2015-12-25,22:18:15,chinese,male,fat,no,toddler,big,black,traditional,black,short_sleeve,black,long,clothes,3,9,no,3.1273308163506206,101.758662303663,2.0,"(50, 60]"
1222,2015-12-05,15:08:51,indian,male,fat,no,young,big,purple,traditional,brown,long sleeve,red,long,clothes,4,9,no,3.1015743789881256,101.74564204906684,1.0,"(40, 50]"
1223,2016-01-19,19:47:44,chinese,female,moderate,no,young,small,purple,traditional,blue,short_sleeve,blue_jeans,short,clothes,5,8,yes,3.146290964100596,101.77969780580436,1.0,"(40, 50]"
1224,2016-02-26,19:38:33,malay,female,thin,yes,toddler,big,pink,casual,grey,long sleeve,blue ,long,blankets,4,7,no,3.138221161490042,101.70608971948865,1.0,"(40, 50]"
1225,2015-12-31,19:26:06,foreigner ,male,moderate,no,toddler,big,white,traditional,black,long sleeve,grey,long,blankets,6,8,no,3.102382231641014,101.72356227309103,3.0,"(30, 40]"
1226,2016-01-24,07:26:19,malay,female,fat,yes,no_kids,big,yellow,traditional,pink,short_sleeve,orange,short,clothes,4,9,no,3.175360088046264,101.72174641144828,1.0,"(20, 30]"
1227,2015-12-26,19:20:50,chinese,female,moderate,no,toddler ,big,yellow,formal,red,long sleeve,pink,long,clothes,3,9,no,3.1541797603115795,101.70609244815154,1.0,"(40, 50]"
1228,2015-12-21,03:00:43,indian,female,moderate,yes,young,big,black,formal,blue,short_sleeve,blue ,long,clothes,4,9,no,3.108663768354646,101.753991593585,1.0,"(20, 30]"
1229,2016-01-27,03:35:51,foreigner ,female,moderate,no,toddler ,big,brown,casual,pink,short_sleeve,pink,short,clothes,5,10,no,3.0970405078102363,101.7625304215898,1.0,"(50, 60]"
1230,2015-12-24,10:01:33,chinese,male,fat,yes,no_kids,big,green,casual,black ,long sleeve,black,long,clothes,6,7,no,3.136262189710035,101.72391362468925,2.0,"(20, 30]"
1232,2015-12-30,20:20:59,malay,female,fat,no,young,small,red,formal,green,short_sleeve,white,short,blankets,5,9,no,3.093245938458267,101.75851388948524,1.0,"(50, 60]"
1233,2016-01-03,22:11:58,malay,female,moderate,no,toddler ,small,purple,casual,white,short_sleeve,blue_jeans,long,clothes,6,7,yes,3.108242878732861,101.78066363465533,3.0,"(30, 40]"
1234,2016-01-23,14:10:53,malay,male,fat,no,toddler,small,purple,traditional,grey,long sleeve,blue,short,blankets,4,9,yes,3.103253327513648,101.75377428966804,3.0,"(20, 30]"
1235,2016-01-21,18:46:49,malay,male,fat,yes,toddler,big,white,traditional,white,long sleeve,black,short,clothes,3,8,no,3.113163144162519,101.78260414736346,1.0,"(50, 60]"
1236,2016-02-25,03:01:04,malay,female,thin,yes,baby,small,white,casual,brown,short_sleeve,purple,long,clothes,3,10,no,3.1223338332650705,101.75137800936956,1.0,"(50, 60]"
1237,2015-12-08,07:09:34,malay,female,moderate,yes,baby,big,white,casual,black,short_sleeve,blue  ,short,clothes,5,10,yes,3.1005463303995846,101.74161108027675,3.0,"(50, 60]"
1238,2015-12-10,18:41:55,malay,male,thin,no,baby,big,green,formal,blue,long sleeve,pink,short,blankets,3,9,no,3.154113489334371,101.7674157768414,2.0,"(30, 40]"
1239,2016-01-24,17:28:57,chinese,male,fat,yes,no_kids,big,brown,formal,red,long sleeve,grey,long,blankets,6,9,no,3.148328069790045,101.76147247786956,1.0,"(20, 30]"
1240,2015-12-01,10:53:49,chinese,female,fat,yes,toddler,big,red,formal,blue,short_sleeve,red,short,blankets,6,8,yes,3.182079632838728,101.7255949535747,2.0,"(40, 50]"
1241,2016-02-22,13:26:47,chinese,male,moderate,yes,baby,small,brown,formal,yellow,short_sleeve,black,long,clothes,3,10,yes,3.1240883568680964,101.7017691830338,1.0,"(30, 40]"
1242,2016-01-06,01:59:06,chinese,female,moderate,yes,toddler,small,red,formal,red,long sleeve,blue,long,blankets,3,10,yes,3.14801452103244,101.7852051698668,3.0,"(20, 30]"
1243,2016-02-20,02:50:53,malay,male,thin,no,toddler,big,yellow,formal,black,short_sleeve,black ,long,blankets,5,7,no,3.168336141625557,101.78707012817118,3.0,"(30, 40]"
1244,2015-12-21,16:00:45,foreigner ,male,moderate,yes,young,big,orange,casual,grey,short_sleeve,orange,long,clothes,3,9,no,3.136849112643405,101.76535878137864,3.0,"(10, 20]"
1246,2016-01-12,01:58:10,chinese,female,fat,no,toddler,small,grey,casual,green,long sleeve,orange,short,clothes,5,8,no,3.158000056712124,101.73903702499815,2.0,"(20, 30]"
1247,2016-02-04,23:48:10,foreigner ,male,fat,yes,baby,small,purple,formal,purple,long sleeve,red,short,blankets,5,8,yes,3.089394616948525,101.72721466555063,2.0,"(50, 60]"
1248,2015-12-21,23:59:03,malay,female,moderate,yes,toddler ,small,white,traditional,black,short_sleeve,blue_jeans,long,blankets,6,9,no,3.161626939184559,101.73415479311068,1.0,"(30, 40]"
1249,2016-01-06,07:56:36,chinese,male,moderate,no,no_kids,small,orange,formal,blue,long sleeve,blue,long,blankets,3,7,no,3.1361844911832018,101.77498762651636,1.0,"(20, 30]"
1250,2016-02-07,21:26:00,indian,male,thin,no,young,big,brown,casual,pink,long sleeve,pink,long,blankets,5,7,no,3.116178776397341,101.75370715325434,3.0,"(30, 40]"
1251,2016-02-19,06:16:13,indian,male,fat,yes,baby,small,purple,casual,pink,short_sleeve,pink,short,clothes,5,7,yes,3.1805920684186155,101.77064481144404,1.0,"(40, 50]"
1252,2016-01-17,21:37:32,malay,female,thin,yes,no_kids,big,white,casual,black,short_sleeve,pink,short,clothes,6,9,yes,3.1127515687894243,101.70367500445568,2.0,"(40, 50]"
1253,2015-12-11,18:50:46,chinese,male,thin,yes,baby,small,white,formal,brown,long sleeve,blue ,long,blankets,5,8,no,3.1170098935472077,101.71477494416374,1.0,"(30, 40]"
1254,2016-03-01,02:48:24,foreigner ,male,moderate,no,baby,small,yellow,casual,purple,short_sleeve,blue_jeans,short,clothes,3,9,yes,3.089169829156991,101.7261091356472,3.0,"(40, 50]"
1255,2016-01-13,11:38:39,malay,female,moderate,yes,young,big,purple,traditional,orange,short_sleeve,blue_jeans,long,clothes,3,9,yes,3.1442762704349065,101.75675309210465,3.0,"(40, 50]"
1256,2016-02-02,04:15:54,foreigner ,male,fat,yes,toddler ,small,black,casual,black,long sleeve,purple,long,clothes,3,7,yes,3.128304681335563,101.71724443569718,3.0,"(10, 20]"
1257,2016-01-01,07:27:54,indian,female,fat,yes,young,small,white,traditional,white,long sleeve,grey,short,blankets,4,8,no,3.149695787240789,101.76579216581652,3.0,"(40, 50]"
1258,2015-12-21,05:29:37,indian,female,moderate,yes,toddler,small,orange,traditional,black,short_sleeve,pink,long,blankets,5,7,yes,3.1637373120687853,101.77505896494344,2.0,"(20, 30]"
1259,2016-02-09,00:23:01,chinese,female,thin,no,toddler ,big,grey,traditional,yellow,long sleeve,black,long,clothes,6,9,yes,3.1155614637219093,101.7437048499966,3.0,"(30, 40]"
1260,2015-12-10,02:52:35,malay,male,thin,no,baby,big,purple,formal,blue,long sleeve,black,long,clothes,6,7,yes,3.140658316967764,101.72763451945418,1.0,"(10, 20]"
1261,2016-01-30,17:00:50,chinese,female,thin,yes,baby,small,brown,traditional,yellow,long sleeve,green,short,clothes,5,7,yes,3.1627839639208286,101.71103971149122,1.0,"(30, 40]"
1262,2016-03-01,12:19:04,malay,female,thin,yes,toddler,big,brown,casual,purple,short_sleeve,blue ,long,blankets,3,7,no,3.1760524228791502,101.70239323851558,1.0,"(40, 50]"
1264,2016-02-22,09:47:58,chinese,male,fat,yes,baby,big,white,casual,grey,short_sleeve,blue_jeans,long,clothes,5,7,no,3.133497806165028,101.7572290325776,1.0,"(20, 30]"
1265,2016-02-15,09:34:28,chinese,female,moderate,no,no_kids,big,orange,formal,brown,long sleeve,orange,short,clothes,6,7,no,3.0904091765986483,101.77596032287882,2.0,"(20, 30]"
1267,2016-02-13,23:58:31,malay,female,thin,no,young,big,white,casual,brown,short_sleeve,purple,long,clothes,6,8,yes,3.118858446332229,101.70019603175535,3.0,"(20, 30]"
1268,2016-01-13,09:43:18,malay,female,moderate,no,young,small,black,formal,yellow,short_sleeve,brown,long,clothes,5,8,no,3.096580650316696,101.77460716525194,2.0,"(10, 20]"
1269,2015-12-04,05:22:08,foreigner ,female,moderate,yes,toddler ,big,white,traditional,blue,short_sleeve,white,short,clothes,3,8,no,3.1727741711017714,101.76451906008342,3.0,"(10, 20]"
1270,2015-12-13,21:24:32,chinese,female,fat,no,toddler ,small,pink,casual,red,short_sleeve,black ,long,clothes,6,10,no,3.1631052836180924,101.705751283429,3.0,"(20, 30]"
1271,2016-01-28,19:27:13,malay,female,moderate,no,baby,small,orange,formal,black ,short_sleeve,black,long,clothes,3,7,yes,3.119449464485605,101.69973185501252,2.0,"(10, 20]"
1272,2015-12-02,10:12:32,chinese,female,thin,no,no_kids,big,white,traditional,purple,short_sleeve,white,long,clothes,4,10,yes,3.0928365396403907,101.70250559184116,1.0,"(20, 30]"
1273,2015-12-01,15:32:58,malay,female,thin,yes,young,small,orange,traditional,white,long sleeve,blue ,long,blankets,3,9,no,3.1083048767778005,101.70413505499955,3.0,"(20, 30]"
1274,2016-01-09,18:11:00,malay,male,fat,no,baby,small,black,formal,yellow,short_sleeve,black,long,blankets,4,8,yes,3.0879598621323967,101.7208434904543,1.0,"(40, 50]"
1275,2015-12-25,02:07:27,malay,male,fat,yes,no_kids,big,yellow,traditional,green,long sleeve,red,short,clothes,3,8,no,3.1753489020462613,101.70413748711395,3.0,"(20, 30]"
1276,2016-01-28,07:03:34,malay,male,fat,yes,no_kids,big,purple,casual,white,long sleeve,black,long,blankets,4,7,yes,3.196101273666322,101.75739654023268,2.0,"(40, 50]"
1277,2016-01-06,10:16:33,chinese,male,thin,no,toddler,small,black,casual,brown,short_sleeve,brown,short,clothes,4,7,no,3.182944546462259,101.75767269946404,1.0,"(20, 30]"
1278,2016-02-08,14:40:27,malay,female,fat,no,toddler ,big,yellow,casual,white,short_sleeve,blue,short,blankets,6,8,no,3.1728925075437897,101.72579178199676,1.0,"(40, 50]"
1279,2015-12-07,04:25:28,foreigner ,female,fat,yes,toddler,small,yellow,traditional,brown,short_sleeve,orange,long,clothes,4,8,yes,3.1148303263782022,101.75800256300086,3.0,"(30, 40]"
1280,2015-12-04,06:41:09,malay,female,thin,yes,toddler ,big,orange,formal,yellow,short_sleeve,pink,short,blankets,6,9,yes,3.149008306524324,101.74393988318232,2.0,"(20, 30]"
1281,2016-01-10,23:09:00,malay,male,moderate,no,toddler,small,pink,traditional,black ,short_sleeve,white,long,clothes,5,8,no,3.105882168005163,101.7195798286521,2.0,"(40, 50]"
1282,2016-01-30,07:16:47,chinese,female,fat,no,toddler,small,orange,traditional,brown,long sleeve,grey,short,blankets,5,8,no,3.147507522245574,101.7354590332456,2.0,"(30, 40]"
1283,2016-01-03,01:57:23,chinese,female,moderate,yes,toddler ,small,blue,traditional,orange,long sleeve,pink,short,blankets,3,8,yes,3.1936385363633883,101.74811710736267,2.0,"(40, 50]"
1284,2015-12-29,16:19:39,malay,male,fat,no,no_kids,big,red,traditional,pink,long sleeve,blue ,short,clothes,4,9,no,3.1343189343210858,101.7833510637873,3.0,"(20, 30]"
1285,2016-02-07,13:48:32,foreigner ,male,thin,yes,toddler ,small,blue,traditional,white,short_sleeve,white,short,clothes,5,7,no,3.096311317549493,101.72322331899872,1.0,"(20, 30]"
1286,2015-12-27,02:02:15,malay,female,moderate,yes,toddler,big,red,traditional,green,short_sleeve,brown,long,blankets,6,7,yes,3.124784311063718,101.774750544282,2.0,"(30, 40]"
1287,2016-01-21,04:45:54,foreigner ,female,moderate,yes,no_kids,big,orange,casual,brown,short_sleeve,green,long,blankets,3,9,yes,3.171723354453877,101.7261403619106,3.0,"(40, 50]"
1288,2016-02-12,02:46:06,foreigner ,female,moderate,no,baby,big,blue,casual,brown,long sleeve,yellow,long,clothes,5,7,yes,3.183586296729677,101.7046907106692,2.0,"(40, 50]"
1289,2016-01-23,13:51:38,foreigner ,female,moderate,no,young,small,green,traditional,green,short_sleeve,black,long,clothes,3,7,yes,3.1412203925901303,101.7571397548376,2.0,"(50, 60]"
1290,2016-02-08,03:48:28,malay,male,moderate,yes,young,small,green,traditional,white,long sleeve,blue_jeans,long,blankets,3,9,no,3.120962277949644,101.70527659681044,2.0,"(50, 60]"
1291,2016-01-03,20:31:08,foreigner ,male,fat,no,toddler ,big,red,casual,green,long sleeve,yellow,long,clothes,5,9,no,3.1148119550416964,101.74200079517232,2.0,"(20, 30]"
1292,2015-12-08,04:37:16,indian,male,thin,yes,toddler ,small,white,casual,brown,short_sleeve,purple,short,clothes,5,8,no,3.121622978367001,101.7359686904926,1.0,"(50, 60]"
1293,2016-02-11,17:42:13,indian,female,moderate,no,toddler,big,white,casual,black,long sleeve,red,long,clothes,3,8,no,3.0964801532402397,101.70041392354292,1.0,"(30, 40]"
1294,2016-02-23,23:03:59,malay,male,fat,yes,baby,small,black,casual,white,short_sleeve,grey,short,clothes,3,9,yes,3.1841505799270178,101.70606853726228,1.0,"(30, 40]"
1295,2015-12-08,16:44:28,indian,male,thin,no,baby,big,white,casual,green,long sleeve,blue,short,clothes,5,7,yes,3.118797613651284,101.75796893872008,3.0,"(20, 30]"
1296,2016-02-06,11:14:31,indian,male,moderate,yes,young,small,grey,formal,yellow,long sleeve,black,long,clothes,5,10,yes,3.180450572502692,101.72760618835116,1.0,"(40, 50]"
1297,2016-02-24,04:40:45,malay,female,fat,yes,toddler,small,grey,formal,orange,long sleeve,black,short,clothes,6,7,no,3.1589449034251627,101.74096971329624,2.0,"(20, 30]"
1298,2016-03-01,11:45:55,malay,female,fat,yes,no_kids,big,green,casual,black,short_sleeve,purple,long,clothes,4,8,yes,3.0917739748748367,101.73532129221636,1.0,"(20, 30]"
1299,2016-02-06,06:29:24,malay,male,fat,yes,young,big,pink,traditional,yellow,short_sleeve,orange,long,blankets,3,7,yes,3.089408683359968,101.7845549568232,2.0,"(30, 40]"
1300,2016-02-23,05:14:08,foreigner ,male,fat,no,toddler,big,white,traditional,white,long sleeve,brown,long,blankets,3,10,no,3.171250833933421,101.72920320047804,2.0,"(20, 30]"
1301,2016-02-10,03:56:06,malay,female,fat,yes,toddler,big,white,formal,white,long sleeve,brown,short,blankets,3,7,no,3.1123064223700427,101.73460949993628,3.0,"(20, 30]"
1302,2016-02-22,11:00:38,chinese,female,fat,yes,young,big,purple,casual,white,short_sleeve,purple,short,clothes,4,8,no,3.1214059611005096,101.7319935686729,1.0,"(40, 50]"
1303,2015-12-01,02:06:12,malay,male,moderate,yes,baby,big,purple,casual,brown,short_sleeve,green,long,blankets,6,9,yes,3.188743907826256,101.73498134509124,1.0,"(50, 60]"
1304,2015-12-06,22:38:22,malay,female,moderate,no,no_kids,small,purple,casual,orange,short_sleeve,blue ,long,clothes,5,9,no,3.168928084381616,101.71303968139073,2.0,"(30, 40]"
1305,2016-03-01,06:57:18,malay,female,fat,yes,young,big,white,casual,green,short_sleeve,blue,short,blankets,5,7,no,3.1457145217078764,101.74288321886118,3.0,"(20, 30]"
1307,2016-02-12,09:09:11,malay,male,moderate,yes,toddler,big,brown,casual,brown,short_sleeve,blue,long,blankets,6,8,no,3.182296206915898,101.71951948304208,3.0,"(30, 40]"
1308,2016-02-22,17:27:57,malay,female,fat,yes,no_kids,big,blue,formal,red,long sleeve,blue,long,clothes,3,9,no,3.128711343958339,101.7042147072998,3.0,"(30, 40]"
1309,2015-12-08,11:40:16,chinese,male,moderate,yes,baby,big,orange,casual,black ,short_sleeve,black,short,clothes,3,8,no,3.155828368120152,101.78194809381198,2.0,"(20, 30]"
1310,2015-12-22,12:44:10,foreigner ,male,moderate,yes,baby,small,black,formal,black ,short_sleeve,purple,long,clothes,5,9,yes,3.130350006688952,101.7852246704184,1.0,"(20, 30]"
1311,2015-12-09,12:35:33,malay,female,fat,yes,no_kids,big,red,casual,grey,long sleeve,blue  ,long,blankets,3,10,no,3.152888538263835,101.71786126893288,3.0,"(40, 50]"
1312,2016-01-13,00:18:56,foreigner ,male,thin,yes,baby,big,white,traditional,black,short_sleeve,yellow,short,clothes,3,8,yes,3.1452505093960355,101.75584309944304,1.0,"(10, 20]"
1313,2016-01-16,21:40:30,foreigner ,male,fat,no,toddler,big,red,casual,brown,long sleeve,black,long,clothes,6,7,yes,3.160532307792609,101.75566561387396,2.0,"(40, 50]"
1314,2015-12-01,12:48:51,indian,male,moderate,no,toddler ,small,green,casual,grey,short_sleeve,pink,long,blankets,6,8,yes,3.107263316660787,101.7176011951934,1.0,"(30, 40]"
1315,2016-01-21,16:16:04,chinese,female,moderate,yes,toddler,big,white,casual,blue,long sleeve,yellow,short,clothes,3,7,yes,3.1130577085770548,101.76407621235624,1.0,"(30, 40]"
1316,2016-01-08,22:58:19,chinese,female,fat,yes,young,big,white,traditional,green,long sleeve,green,short,clothes,5,10,yes,3.141878359298454,101.75860759861406,3.0,"(20, 30]"
1317,2016-02-28,06:25:16,malay,male,thin,no,young,big,white,formal,green,long sleeve,orange,long,clothes,5,8,yes,3.175405839728271,101.74911335051377,1.0,"(40, 50]"
1318,2016-02-13,10:32:11,indian,female,moderate,no,no_kids,small,pink,casual,orange,long sleeve,grey,long,blankets,4,7,no,3.138725362669643,101.73480330064996,3.0,"(20, 30]"
1319,2016-02-26,20:10:19,indian,female,thin,yes,toddler ,small,white,traditional,black,short_sleeve,white,long,clothes,5,8,yes,3.146003049942657,101.7123988655394,3.0,"(40, 50]"
1320,2016-02-22,05:56:10,chinese,female,moderate,no,young,small,pink,traditional,yellow,short_sleeve,black,short,blankets,3,9,yes,3.1739621995008536,101.77999933386523,2.0,"(50, 60]"
1321,2015-12-27,19:16:02,malay,male,moderate,no,toddler,small,blue,traditional,orange,long sleeve,black ,short,blankets,3,10,no,3.176858835852088,101.77195087795732,1.0,"(30, 40]"
1322,2016-02-17,04:55:14,indian,female,thin,no,young,small,purple,casual,white,short_sleeve,black,short,clothes,5,10,yes,3.178762735399704,101.71470813125688,2.0,"(30, 40]"
1323,2016-01-02,16:24:28,foreigner ,male,fat,yes,young,small,red,casual,white,long sleeve,blue_jeans,short,clothes,3,8,yes,3.1973600250934133,101.7573613355556,1.0,"(50, 60]"
1324,2016-02-09,12:53:46,malay,female,fat,yes,young,small,white,casual,black ,short_sleeve,black,short,blankets,4,9,no,3.133113701806287,101.7778083409996,1.0,"(50, 60]"
1325,2016-01-14,18:16:15,chinese,male,fat,no,toddler,small,pink,traditional,white,short_sleeve,brown,short,clothes,3,7,yes,3.1511536574636967,101.78716215894336,2.0,"(50, 60]"
1327,2016-01-27,10:58:32,malay,female,moderate,no,no_kids,small,yellow,traditional,white,short_sleeve,black,short,clothes,3,8,no,3.1690580256813923,101.76382076053018,1.0,"(30, 40]"
1328,2016-01-20,21:57:24,malay,female,fat,no,baby,small,brown,traditional,orange,short_sleeve,pink,short,blankets,6,10,yes,3.1210512866834903,101.77746744150564,1.0,"(30, 40]"
1329,2016-01-15,01:33:12,indian,female,moderate,no,no_kids,small,white,traditional,brown,short_sleeve,grey,long,clothes,4,7,yes,3.1018041928065627,101.73150454295008,3.0,"(40, 50]"
1330,2015-12-05,05:50:58,foreigner ,female,fat,no,toddler,small,orange,traditional,purple,long sleeve,black,short,blankets,3,10,no,3.1571798108945037,101.74159044739294,2.0,"(40, 50]"
1331,2016-01-27,15:15:35,chinese,male,fat,no,young,small,white,traditional,grey,long sleeve,black ,long,clothes,6,8,no,3.161860299244235,101.78749247882033,3.0,"(50, 60]"
1332,2016-03-01,16:25:52,malay,male,fat,yes,toddler,big,red,traditional,blue,short_sleeve,green,long,clothes,6,9,no,3.094789526400414,101.76637700193578,1.0,"(40, 50]"
1333,2015-12-18,04:03:57,chinese,female,moderate,yes,baby,big,orange,casual,white,short_sleeve,blue,long,blankets,4,9,no,3.1774242569879543,101.72414624542486,3.0,"(20, 30]"
1334,2016-01-05,15:22:19,foreigner ,male,moderate,yes,toddler,big,red,casual,purple,short_sleeve,blue  ,long,clothes,4,7,no,3.114587969389297,101.73824386556538,3.0,"(10, 20]"
1335,2016-02-05,10:16:31,indian,female,fat,yes,young,small,white,traditional,green,short_sleeve,grey,short,blankets,5,9,yes,3.1300884608467654,101.74413083893644,2.0,"(30, 40]"
1337,2016-01-15,06:02:14,malay,female,thin,yes,toddler,big,green,formal,green,long sleeve,blue ,long,clothes,6,8,yes,3.1769021282427232,101.77735301308373,1.0,"(20, 30]"
1339,2016-02-18,04:04:38,chinese,female,moderate,yes,young,big,pink,formal,white,long sleeve,blue_jeans,long,clothes,5,9,yes,3.183662486880482,101.73646083063755,2.0,"(20, 30]"
1340,2016-01-06,07:18:43,foreigner ,female,moderate,no,baby,small,orange,traditional,black,long sleeve,black,short,blankets,5,7,yes,3.111978618285611,101.71107187426958,2.0,"(40, 50]"
1342,2015-12-05,11:50:31,foreigner ,female,thin,yes,toddler,big,yellow,formal,green,long sleeve,purple,long,clothes,6,8,no,3.1452763739279703,101.7170579228932,1.0,"(30, 40]"
